All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Yanji Chaoyangchuan Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Yanji Chaoyangchuan Airport,Air China,1
All Countries,China,Others,Others,China,Others,Yanji Chaoyangchuan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Dayong Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Dayong Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Changbaishan Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Changbaishan Airport,Air France,1
All Countries,China,Others,Others,China,Others,Changbaishan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Hotan Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Hotan Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Hotan Airport,Air China,1
All Countries,China,Others,Others,China,Others,Hotan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Beihai Airport,China Southern Airlines,4
All Countries,China,Others,Others,China,Others,Chifeng Airport,China Eastern Airlines,4
All Countries,China,Others,Others,China,Others,Tongliao Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Tongliao Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Ordos Ejin Horo Airport,Air China,1
All Countries,China,Others,Others,China,Others,Ordos Ejin Horo Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Ordos Ejin Horo Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Jingdezhen Airport,Air China,2
All Countries,China,Others,Others,China,Others,Jingdezhen Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Nanping Wuyishan Airport,Air China,3
All Countries,China,Others,Others,China,Others,Weifang Airport,Hainan Airlines,3
All Countries,China,Others,Others,China,Others,Liuzhou Bailian Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Dongshan Airport,Air China,1
All Countries,China,Others,Others,China,Others,Dongshan Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Dongshan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Enshi Airport,Air France,1
All Countries,China,Others,Others,China,Others,Enshi Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Enshi Airport,China Eastern Airlines,1
